,R1_RDT_Total_Feed,R1_RDT_PAR_FEED,R1_RDT_T_ARO,R1_RDT_T_PAR,R2_RDT_T_ARO,R2_RDT_T_PAR,R2_RDT_Total_Feed,R2_RDT_PAR_FEED,R3_RDT_Total_Feed,R3_RDT_T_ARO,R3_RDT_PAR_FEED,R3_RDT_T_PAR,R4_RDT_T_ARO,R4_RDT_Total_Feed,R4_RDT_T_PAR,R4_RDT_PAR_FEED,R1_RIT_mean,R2_RIT_mean,R3_RIT_mean,R4_RIT_mean,R1_RIT_max,R2_RIT_max,R3_RIT_max,R4_RIT_max,Re_Gas_H2_purity,C_1_DISCH,Re_Gas_MOLAR_RATIO,Re_Gas_Flow,C_1_SUCTION,R1_New_Wait,R2_New_Wait,R3_New_Wait,R4_New_Wait,max_2nd.Burning.Zone,max_2nd.1dan,max_2nd.2dan,max_2nd.3dan,max_2nd.4dan,max_2nd.5dan,Catalyst Circulation Rate,Catalyst Circulation LIFT VELOCITY E,Catalyst_V3_front_coke Content,Catalyst_V3_back_coke Content,V-3 1ST BURN ZON E-1 INLET O2 CCT,V-3 1ST BURN ZON E-1 INLET GAS,V-3 1ST BURN ZON H-1 OUTLET,Burning Gas C-2 OUT TO V-3,ATMOSPHERE Burning Gas TEMP,H-4 INLET TEMPERATURE (R-4 RIT),H-3 OUT R-3 IN (R-3 RIT),H-2 OUT R-2 IN (R-2 RIT),H-1 OUT R-1 IN (R-1 RIT),R-4 OUT E-1 IN (R-4 ROT),R-3 OUT H-4 IN (R-3 ROT),R-2 OUT H-3 IN (R-2 ROT),R-1 OUT H-2 IN (R-1 ROT),Burning Gas concentration
R3_RDT_PAR_FEED,-0.396,0.566,-0.373,0.279,-0.022,0.645,-0.024,0.641,0.182,0.18,1.0,0.879,0.241,0.337,0.714,0.807,0.095,0.422,0.311,0.247,0.071,0.446,0.296,0.11,0.046,0.12,0.122,0.192,-0.078,0.31,0.309,0.305,0.296,-0.1,-0.286,-0.293,-0.324,-0.345,-0.1,0.028,-0.157,-0.168,-0.051,-0.264,0.104,0.079,-0.05,-0.365,0.224,0.312,0.415,0.095,0.11,0.262,0.544,0.608,0.314
R3_RDT_T_PAR,-0.387,0.431,-0.257,0.481,-0.146,0.516,-0.223,0.352,0.134,0.278,0.879,1.0,0.353,0.336,0.779,0.725,0.231,0.286,0.388,0.433,0.215,0.295,0.382,0.329,0.239,-0.016,0.231,0.113,0.091,0.382,0.394,0.406,0.407,-0.129,-0.36,-0.358,-0.386,-0.417,-0.129,-0.021,-0.097,-0.377,-0.019,-0.257,-0.149,0.282,-0.114,-0.452,0.407,0.374,0.278,0.222,0.221,0.29,0.538,0.572,0.228
R4_RDT_T_ARO,-0.048,0.086,0.178,0.278,0.085,0.024,-0.14,-0.083,0.225,0.597,0.241,0.353,1.0,0.751,0.623,0.55,0.024,-0.057,0.095,0.362,0.04,-0.025,0.104,0.478,0.237,-0.185,0.119,-0.114,0.2,0.114,0.118,0.125,0.141,-0.495,-0.448,-0.439,-0.44,-0.45,-0.495,0.033,0.035,-0.501,-0.006,-0.087,-0.407,0.306,-0.486,-0.16,0.287,0.084,-0.052,0.028,-0.129,-0.255,-0.046,-0.106,-0.008
R4_RDT_Total_Feed,0.172,0.098,0.054,0.103,0.184,0.197,0.252,0.158,0.62,0.459,0.337,0.336,0.751,1.0,0.53,0.533,-0.222,-0.006,0.055,0.29,-0.186,0.06,0.1,0.41,-0.077,0.229,-0.335,-0.221,0.019,0.041,0.045,0.052,0.069,-0.18,-0.102,-0.115,-0.11,-0.101,-0.18,0.163,-0.098,-0.235,-0.075,-0.049,-0.031,-0.189,-0.145,0.089,0.223,0.057,0.005,-0.214,-0.099,-0.246,-0.127,-0.141,0.04
R4_RDT_T_PAR,-0.488,0.244,-0.293,0.232,-0.222,0.298,-0.342,0.215,-0.025,0.19,0.714,0.779,0.623,0.53,1.0,0.936,0.003,0.052,0.091,0.291,-0.034,0.078,0.085,0.292,0.11,-0.216,0.217,0.111,-0.053,0.098,0.109,0.125,0.152,-0.298,-0.371,-0.362,-0.373,-0.397,-0.298,-0.039,0.003,-0.473,0.035,-0.144,-0.294,0.402,-0.32,-0.336,0.238,0.08,0.051,0.003,-0.079,-0.027,0.333,0.419,0.233
R4_RDT_PAR_FEED,-0.495,0.329,-0.375,0.113,-0.159,0.377,-0.224,0.393,0.004,0.123,0.807,0.725,0.55,0.533,0.936,1.0,-0.07,0.143,0.052,0.149,-0.117,0.178,0.033,0.115,-0.016,-0.131,0.138,0.15,-0.161,0.068,0.068,0.071,0.079,-0.267,-0.322,-0.319,-0.331,-0.347,-0.267,-0.023,-0.042,-0.306,0.018,-0.142,-0.087,0.263,-0.274,-0.279,0.108,0.053,0.14,-0.064,-0.178,-0.032,0.355,0.458,0.286
R1_RIT_mean,0.165,0.412,0.33,0.615,0.001,0.007,-0.158,-0.127,0.022,0.288,0.095,0.231,0.024,-0.222,0.003,-0.07,1.0,0.418,0.71,0.608,0.947,0.294,0.657,0.446,0.617,0.063,0.462,0.089,0.508,0.753,0.755,0.745,0.726,-0.063,-0.439,-0.425,-0.459,-0.492,-0.063,-0.032,-0.135,-0.145,0.069,-0.413,-0.055,0.275,-0.018,-0.597,0.608,0.689,0.401,0.974,0.595,0.64,0.513,0.329,-0.188
R2_RIT_mean,0.131,0.605,0.059,0.33,0.485,0.67,0.476,0.664,0.294,0.204,0.422,0.286,-0.057,-0.006,0.052,0.143,0.418,1.0,0.736,0.524,0.425,0.96,0.723,0.236,0.372,0.464,0.145,0.083,0.362,0.74,0.738,0.73,0.711,-0.021,-0.358,-0.374,-0.437,-0.47,-0.021,0.153,-0.314,-0.017,0.065,-0.365,0.402,-0.253,0.112,-0.494,0.497,0.739,0.981,0.411,0.597,0.756,0.694,0.345,0.184
R3_RIT_mean,0.255,0.399,0.285,0.514,0.255,0.284,0.183,0.153,0.423,0.474,0.311,0.388,0.095,0.055,0.091,0.052,0.71,0.736,1.0,0.852,0.693,0.653,0.954,0.636,0.614,0.401,0.323,0.073,0.598,0.94,0.947,0.954,0.951,-0.026,-0.469,-0.468,-0.51,-0.555,-0.026,0.11,-0.287,-0.23,-0.02,-0.373,0.11,0.019,0.038,-0.65,0.825,0.976,0.717,0.696,0.816,0.863,0.669,0.281,-0.057
R4_RIT_mean,0.222,0.289,0.307,0.543,0.173,0.192,0.069,0.001,0.415,0.53,0.247,0.433,0.362,0.29,0.291,0.149,0.608,0.524,0.852,1.0,0.617,0.465,0.852,0.89,0.588,0.279,0.279,-0.009,0.578,0.834,0.85,0.871,0.908,-0.117,-0.471,-0.466,-0.5,-0.55,-0.117,0.091,-0.208,-0.454,0.009,-0.33,-0.084,0.114,-0.059,-0.564,0.935,0.819,0.51,0.59,0.82,0.67,0.529,0.192,-0.073
